size,time,threads
10,0.000213,1
20,0.000340,1
40,0.000529,1
60,0.000683,1
80,0.000871,1
100,0.001033,1
200,0.001925,1
400,0.003547,1
600,0.005164,1
800,0.006790,1
1000,0.008318,1
2000,0.016294,1
4000,0.032640,1
6000,0.048791,1
8000,0.064607,1
10000,0.081331,1
20000,0.162370,1
40000,0.323510,1
10,0.002222,2
20,0.003526,2
40,0.005364,2
60,0.006961,2
80,0.008272,2
100,0.008669,2
200,0.012229,2
400,0.017597,2
600,0.025357,2
800,0.027636,2
1000,0.028317,2
2000,0.030807,2
4000,0.039570,2
6000,0.053172,2
8000,0.068640,2
10000,0.085542,2
20000,0.165040,2
40000,0.317770,2
10,0.003032,4
20,0.003997,4
40,0.005780,4
60,0.007200,4
80,0.008515,4
100,0.009604,4
200,0.014648,4
400,0.022223,4
600,0.030769,4
800,0.033240,4
1000,0.036587,4
2000,0.053121,4
4000,0.075273,4
6000,0.101160,4
8000,0.111060,4
10000,0.142050,4
20000,0.199940,4
40000,0.306220,4
10,0.006390,8
20,0.008248,8
40,0.011255,8
60,0.013567,8
80,0.016119,8
100,0.017169,8
200,0.031318,8
400,0.039096,8
600,0.049436,8
800,0.054900,8
1000,0.059026,8
2000,0.082563,8
4000,0.122900,8
6000,0.154110,8
8000,0.172630,8
10000,0.194630,8
20000,0.284150,8
40000,0.429050,8
10,0.014180,16
20,0.019056,16
40,0.026066,16
60,0.032343,16
80,0.037381,16
100,0.040901,16
200,0.065466,16
400,0.094856,16
600,0.122820,16
800,0.141680,16
1000,0.153590,16
2000,0.217370,16
4000,0.319350,16
6000,0.450610,16
8000,0.504810,16
10000,0.632940,16
20000,0.940440,16
40000,1.452200,16
