size,time,threads
20,0.003596,1
40,0.004512,1
60,0.004992,1
80,0.005806,1
100,0.006272,1
200,0.009780,1
400,0.015641,1
600,0.022009,1
800,0.027872,1
1000,0.033595,1
2000,0.063532,1
4000,0.123630,1
6000,0.183470,1
8000,0.243900,1
10000,0.393680,1
20000,0.653510,1
40000,1.201000,1
60000,1.796800,1
20,0.017080,2
40,0.024193,2
60,0.026302,2
80,0.030650,2
100,0.032502,2
200,0.041219,2
400,0.049598,2
600,0.056233,2
800,0.060701,2
1000,0.066038,2
2000,0.087772,2
4000,0.127410,2
6000,0.159870,2
8000,0.183600,2
10000,0.223840,2
20000,0.408070,2
40000,0.745380,2
60000,1.078200,2
20,0.020388,4
40,0.031871,4
60,0.038947,4
80,0.044974,4
100,0.047878,4
200,0.060429,4
400,0.072777,4
600,0.082788,4
800,0.088007,4
1000,0.090412,4
2000,0.112100,4
4000,0.146400,4
6000,0.171670,4
8000,0.197210,4
10000,0.233480,4
20000,0.392500,4
40000,0.654660,4
60000,0.869890,4
20,0.021755,8
40,0.031124,8
60,0.041174,8
80,0.050679,8
100,0.057489,8
200,0.081125,8
400,0.109800,8
600,0.126520,8
800,0.136090,8
1000,0.143210,8
2000,0.176650,8
4000,0.217500,8
6000,0.249190,8
8000,0.272720,8
10000,0.304680,8
20000,0.450610,8
40000,0.688320,8
60000,0.869800,8
